square,color,place,district,lon,lat
0.5,red,д. Забелье,Полоцкий,28.41648,55.33925
1.2,red,д. Зарубино,Глубокский,27.6158163,55.1205433
0.5,red,д. Кунава,Сморгонский,26.396276,54.415089
0.5,green,д. Большая Тростяница,Борисовский,28.36181,54.34601
1.7,green,д. Докудово,Крупский,28.89679,54.3249
1.7,green,д. Докудово,Крупский,28.89679,54.3249
1.7,green,д. Докудово,Крупский,28.89679,54.3249
2,red,д. Малый Вязок,Крупский,29.1885991,54.166219
1,red,д. Глубокое,Круглянский,29.64335,54.14912
2,green,д. Оздятичи,Борисовский,28.830881,54.099323
2,green,д. Оздятичи,Борисовский,28.8307,54.09857
2,green,д. Оздятичи,Борисовский,28.8307,54.09857
1.2,red,д. Шелути,Ивьевский,25.6487,53.99291
1.5,green,д. Лесковичи,Березинский,29.11411,53.92862
2,red,д. Ежоны,Барановичский,27.561175,53.901902
0.7,red,д. Мисуры,Лидский,25.57815,53.901902
14,red,д. Дубровня,Лидский,25.38194,53.89995
1.1,green,д. Нетеч,Лидский,25.42065,53.89472
4,red,д. Огородники,Лидский,25.39498,53.89377
1.5,green,д. Громки,Щучинский,24.657946,53.830074
3,green,д. Громки,Щучинский,24.6559848466,53.82996
0.8,green,д. Громки,Щучинский,24.6559848466,53.82996
1.2,green,д. Дылево,Лидский,25.262692,53.805351
1,green,д. Дылево,Лидский,25.0044136583,53.790605
0.5,red,агрогородок Василишки,Щучинский,24.85589,53.779176
0.5,green,д. Голынка,Гродненский,23.5684115,53.7757621
1.3,green,д. Мостки,Гродненский,24.1249966828,53.754385
3,red,д. Феликсово,Лидский,25.02136,53.73851
1.4,green,д. Стриевка,Гродненский,24.1415582392,53.73529
0.8,green,д. Стриевка,Гродненский,24.14314,53.732382
1.3,red,д. Дитрики,Лидский,25.3785,53.71456
1,green,д. Красная Буда,Кричевский,31.8394042,53.7123956
1.2,green,д. Лабно-Огородники,Гродненский,23.6478375,53.7029723
0.7,green,д. Вертелишки,Гродненский,24.016214,53.698653
1,green,г. Кричев,,31.716629,53.695644
1,green,г. Кричев,,31.716629,53.695644
1,green,Кричев,Кричев,31.716629,53.695644
1.1,green,Кричев,Кричев,31.716629,53.695644
1.1,green,д. Залозки,Новогрудский,26.0622736519,53.69486
1,green,д. Залозки,Новогрудский,26.0622736519,53.69486
0.9,green,д. Залозки,Новогрудский,26.0622736519,53.69486
1.2,red,г. Гродно,Гродненский,23.8353439,53.6833611
0.6,red,г. Гродно,Гродненский,23.8353439,53.6833611
0.53,red,г. Гродно,Гродненский,23.8353439,53.6833611
15.2,red,Гродно,Гродно,23.8353439,53.6833611
0.6,red,Гродно,Гродненский,23.829807,53.678122
0.5,red,Гродно,,23.829807,53.678122
0.5,red,Гродно,,23.829807,53.678122
1,green,д. Калинино,Кричевский,31.7092283,53.6564454
0.5,red,д. Негневичи,Новогрудский,26.071804,53.65444
1,red,д. Негневичи,Новогрудский,26.071804,53.65444
0.8,red,д. Беляны,Гродненский,23.6345522,53.6235866
1.9,green,д. Годылево,Быховский,30.3631456,53.6076165
1.4,green,д. Немейши,Гродненский,23.7397022,53.5791374
1,green,д. Немейши,Гродненский,23.7397022,53.5791374
1.7,red,д. Бакуны,Гродненский,23.7138769,53.5674478
1.6,red,д. Коптевка,Гродненский,23.872962,53.565755
2,green,д. Мокрое,Быховский,30.2229831,53.5485729
2,green,д. Сапежинка,Быховский,30.2358888,53.5453333
1,green,д. Черевач,Кличевский,29.1394844,53.53912
4,green,д. Каменичи,Осиповичский,28.829444,53.536487
0.5,green,д. Воронино,Быховский,30.3506153,53.5292664
1.9,green,п. Правдинский,Пуховичский,27.828712,53.524402
1.5,green,д. Новоселки,Гродненский,23.867992,53.522958
1.3,green,д. Новоселки,Гродненский,23.867992,53.522958
0.8,green,д. Новоселки,Гродненский,23.867992,53.522958
0.6,green,д. Новоселки,Гродненский,23.867992,53.522958
6,green,д. Сергеевичи,Пуховичский,27.75232,53.49389
0.6,green,д. Сергеевичи,Пуховичский,27.75232,53.49389
1.3,green,д. Теребостынь,Кореличский,26.33174,53.49063
1.1,green,д. Лобачи,Новогрудский,25.79496,53.48221
0.5,red,д. Лаша,Гродненский,23.978083,53.475849
1.5,red,д. Заборье,Щучинский,24.7553355,53.473062
1.5,red,д. Подбораны,Мостовский,24.23206,53.47303
1,red,д. Подбораны,Мостовский,24.23206,53.47303
5.5,red,д. Индура,Гродненский,23.8824663,53.4625005
67,red,д. Индура,Гродненский,23.8824663,53.4625005
3,red,д. Лунно,Мостовский,24.25653,53.45372
7,green,д. Никоновичи,Быховский,30.43222,53.44891
2,green,д. Никоновичи,Быховский,30.43222,53.44891
2,green,д. Никоновичи,Быховский,30.43222,53.44891
0.9,green,д. Никоновичи,Быховский,30.43222,53.44891
0.6,green,д. Туличево,Новогрудский,25.83615,53.44814
5,red,д. Заневичи,Гродненский,24.0256661,53.4475457
0.5,green,д. Косичи,Новогрудский,25.80105,53.4472
1.5,green,д. Косичи,Новогрудский,25.80105,53.4472
0.9,red,д. Залески,Мостовский,24.2802962734,53.44664
2,red,д. Залески,Мостовский,24.2802962734,53.44664
0.7,red,д. Залески,Мостовский,24.2802962734,53.44664
1,red,д. Гостбище,Узденский,27.4649761,53.446086
1.7,green,д. Никоновичи,Быховский,30.438021,53.445773
4,red,д. Загораны,Мостовский,24.2548004665,53.43089
2,green,д. Буковичи,Узденский,27.13108,53.42308
3,green,д. Казейки,Мостовский,24.24348,53.42153
1.5,red,д. Госьбищи,Узденский,27.256341,53.415676
0.5,red,д. Жукевичи,Берестовицкий,23.980679,53.409863
1.1,green,г.п. Хотимск,Хотимский,32.572222,53.408333
2.5,green,д. Бацевичи,Кличевский,29.2341554,53.4026502
2,green,д. Пилки,Мостовский,24.2594391039,53.391405
1.1,green,д. Пилки,Мостовский,24.2594391039,53.391405
1,green,д. Пилки,Мостовский,24.2594391039,53.391405
2,green,д. Пилки,Мостовский,24.265733,53.390025
2,green,д. Заперинье,Пуховичский,28.11685,53.38471
0.5,green,д. Добрый Дуб,Славгородский,30.6513643,53.3846608
1.2,red,д. Камечаны,Мостовский,24.647058,53.382302
1.7,red,д. Камечаны,Мостовский,24.647058,53.382302
1.5,green,д. Протасовщина,Пуховичский,27.73627,53.37356
1.1,red,д. Жукевичи,Берестовицкий,23.97569,53.34635
1.5,green,д. Заборье,Краснопольский,31.49463,53.34515
1.5,green,д. Заборье,Краснопольский,31.49463,53.34515
1.7,green,д. Песочное,Копыльский,27.1009258,53.3360614
0.5,green,г.п. Городея,Несвижский,26.5349844,53.3133029
1,red,д. Мурована,Берестовицкий,23.89775,53.29056
0.6,green,д. Любоничи,Кировский,29.23865,53.27502
0.6,red,г.п. Красносельский,Волковысский,24.4199689,53.2621122
0.5,green,д. Ясный Лес,Бобруйский,29.3444,53.18146
1,green,д. Великий Бор,Костюковичский,31.9229907,53.1798005
1.1,green,д. Великий Бор,Костюковичский,31.9229907,53.1798005
1,green,д. Тепливоды,Барановичский,25.977041,53.17954
0.7,green,д. Грицковичи,Зельвенский,24.7122,53.17434
2,red,д. Бережки,Зельвенский,24.858854,53.136101
3,green,д. Заполье,Рогачевский,29.964722,53.116667
3,red,д. Петралевичи,Слонимский,25.34986,53.1080034
2,green,д. Городище,Слуцкий,27.58289,53.09941
1,green,д. Городище,Слуцкий,27.58289,53.09941
0.6,green,д. Городище,Слуцкий,27.58289,53.09941
4.2,green,д. Городище,Слуцкий,27.580768,53.098453
2,green,д. Браново,Слуцкий,27.40282,53.09032
1,red,г. Слоним,Слонимский,25.316667,53.083333
1.2,green,д. Русино,Барановичский,26.092232,53.082115
1.1,green,д. Русино,Барановичский,26.092232,53.082115
1.5,green,д. Заполье,Слуцкий,27.57302,53.08173
2.6,red,д. Костевичи,Зельвенский,24.8343907,53.0816608
0.7,green,д. Дворчаны,Свислочский,24.03791,53.05727
0.5,green,д. Пацуи,Свислочский,24.0599281,53.0533579
1.7,green,д. Заболотье,Рогачевский,29.920556,53.042222
4.2,red,д. Новоселки,Волковысский,24.33705,53.036444
1.4,green,д. Омеленская Слобода,Бобруйский,29.64541,53.02036
0.5,green,д. Добрый Дуб,Славгородский,25.478512,52.98371
1,red,д. Гловсевичи,Слонимский,25.25847,52.980896
1,red,д. Гловсевичи,Слонимский,25.25847,52.980896
3.7,green,д. Зеленая Долина,Жлобинский,30.00177,52.98088
2.2,green,п. Редкий Рог,Бобруйский,29.11772,52.93479
1.5,green,п. Редкий Рог,Бобруйский,29.11772,52.93479
3,green,д. Белица,Жлобинский,29.96023,52.93316
1.5,green,п. Покровский,Чечерский,31.004202,52.928489
2.7,green,д. Орсичи,Бобруйский,29.09362,52.925601
2.75,green,д. Орсичи,Бобруйский,29.09362,52.925601
2.3,green,д. Орсичи,Бобруйский,29.093369,52.922208
1.1,green,г. Чечерск,Чечерский,30.916667,52.916667
0.5,green,г. Чечерск,Чечерский,30.916667,52.916667
2.5,green,Чечерск,Чечерск,30.916667,52.916667
1.2,red,д. Малевичи,Жлобинский,29.9123098,52.9084894
0.65,green,д. Мотневичи,Чечерский,30.7649376,52.8940436
1.5,green,д. Мотневичи,Чечерский,30.770263,52.891522
1.5,green,д. Мотневичи,Чечерский,30.770263,52.891522
1,green,д. Кораблище,Чечерский,30.715726,52.852093
2,green,п. Васильевский,Чечерский,30.7548899,52.8512554
1,red,д. Тиховоля,Свислочский,23.9911,52.846257
2,red,д. Тиховоля,Свислочский,23.9911,52.846257
4,red,д. Тиховоля,Свислочский,23.9911,52.846257
1,green,д. Большой,Солигорский,27.32535,52.83138
2.4,green,д. Нивы,Жлобинский,29.95071,52.80724
1,green,д. Барановка,Жлобинский,30.20296,52.79463
1.4,green,д. Барановка,Жлобинский,30.20296,52.79463
1,green,д. Барановка,Жлобинский,30.20684,52.793692
3,green,д. Большой Рожан,Солигорский,27.120049,52.765781
1.9,green,д. Иодчики,Ивацевичский,25.011442,52.754789
1.5,green,д. Альба,Ивацевичский,25.0251351,52.7545387
1.2,green,д. Иодчики,Ивацевичский,25.0026304106,52.7541928
1.15,green,д. Селец,Буда-Кошелевский,30.636944,52.750278
1,green,д. Селец,Буда-Кошелевский,30.636944,52.750278
1.5,green,д. Саковичи,Солигорский,27.6109499,52.7348963
1.5,green,д. Саковичи,Солигорский,27.6109499,52.7348963
2,green,д. Саковичи,Солигорский,27.6109499,52.7348963
1.9,green,д. Альба,Ивацевичский,25.496712,52.695614
1,green,д. Язовинь,Солигорский,27.37491,52.689773
3.1,green,д. Летенец,Солигорский,27.46431,52.677993
1.5,green,д. Зломное,Жлобинский,30.05044,52.67798
3,green,д. Сосны-2,Любанский,28.25289,52.66715
3,green,п. Сосны-2,Любанский,28.25289,52.66715
2.5,green,п. Сосны-2,Любанский,28.25289,52.66715
1.5,green,п. Сосны-2,Любанский,28.25289,52.66715
1,green,д. Сосны-2,Любанский,28.25289,52.66715
1.5,green,д. Сосны-2,Любанский,28.25289,52.66715
4.2,green,п. Сосны,Любанский,28.251584,52.667006
3,green,д. Сосны,Любанский,28.251584,52.667006
3,green,д. Сосны,Любанский,28.251584,52.667006
1.1,green,д. Сосны,Любанский,28.251584,52.667006
2.5,green,д. Сосны,Любанский,28.251584,52.667006
1,green,д. Величковичи,Солигорский,27.241537,52.636188
1.5,green,д. Величковичи,Солигорский,27.241537,52.636188
2,green,д. Дуброва,Светлогорский,29.3794303,52.6292826
1.1,green,д. Козики,Ивацевичский,25.56021,52.61619
1.1,green,п. Шевцов,Ветковский,30.94344,52.588708
0.8,green,д. Кунторовка,Ветковский,31.03492,52.58589
2,green,п. Большевик,Гомельский,30.881627,52.561557
1.5,green,п. Большевик,Гомельский,30.881627,52.561557
1.1,green,г.п. Большевик,Гомельский,30.881627,52.561557
0.5,green,п. Большевик,Гомельский,30.881627,52.561557
1.5,green,д. Большевик,Гомельский,30.881627,52.561557
1.2,green,д. Большевик,Гомельский,30.881627,52.561557
1.1,green,р.п. Большевик,Гомельский,30.881627,52.561557
1.2,green,р.п. Большевик,Гомельский,30.881627,52.561557
1.1,green,р.п. Большевик,Гомельский,30.881627,52.561557
1.5,green,р.п. Большевик,Гомельский,30.881627,52.561557
1.3,green,р.п. Большевик,Гомельский,30.881627,52.561557
1.1,green,г.п. Костюковка,Гомельский,30.9113726,52.53969
0.6,green,г.п. Костюковка,Гомельский,30.9113726,52.53969
1.1,green,д. Сковшин,Солигорский,27.83756,52.535069
1,green,п. Вишенский,Гомельский,30.898659,52.529519
0.6,green,д. Александровка,Гомельский,30.7448978,52.4983436
5,green,д. Залипье,Гомельский,30.843664,52.455255
0.6,green,д. Задоровка,Гомельский,30.64911,52.44598
1,green,п. Мильча,Гомельский,30.89291,52.439842
0.8,green,д. Новая Мильча,Гомельский,30.866389,52.43
1.3,green,д. Романовичи,Гомельский,31.12861,52.427417
5,green,д. Романовичи,Гомельский,31.12861,52.427417
2.5,green,д. Романовичи,Гомельский,31.12861,52.427417
1.1,green,д. Романовичи,Гомельский,31.123333,52.426944
0.5,green,д. Романовичи,Гомельский,31.123333,52.426944
6,green,Гомель,,31.014272,52.42416
1.2,green,д. Белое Болото,Речицкий,30.45968,52.42187
1,green,д. Белое Болото,Речицкий,30.45968,52.42187
0.6,green,п. Прибор,Гомельский,30.7643936,52.4106577
0.5,green,д. Озерщина,Речицкий,30.342728,52.40571
1.5,green,п. Рассвет,Гомельский,31.306872,52.386262
3,green,д. Осовцы,Гомельский,30.92712,52.37723
